Území;Sudety;% dětí;% dětí v neúplných rodinách;% v produktivním věku;% nad 65;Průměrný věk mužů;Průměrný věk žen;% v manželství;% rozvedených;% ovdovělých;% Pavel Petr – 2. kolo;% Babiš Andrej – 2. kolo;% Volební účast v 2. kole;% bez vzdělání;% se základní školou;% s výučním listem;% s maturitou;% vysokoškoláků + VOŠ;% Čechů;% Moravanů + Slezanů;% Slováků;% Poláků;% Němců;% Romů;% Rusů;% Ukrajinců;% Vietnamců;% cizinců;% neuvedená národnost;% zaměstnaných (15-64);% řídící pracovníci;% specialistů;% technických pracovníků;% úředníků;% ve službách a prodeji;% zemědělci, lesníci a rybáři;% řemeslníků;% obsluha strojů / zařízení;% nekvalifikovaných pracovníků;% v ozbrojených silách;% neznámý sektor práce;% zaměstnanců;% zaměstnavatelů;% podnikatelů bez zaměstnanců;% neznámý pracovní poměr;% žen 15+;Plodnost ženy (odhad);% v církvi;% věřících mimo církve
Liberec;1;16.65;28.56;63.36;20.00;40.6;43.4;36.39;13.09;6.18;61.26;38.73;69.58;0.66;12.37;30.05;31.17;18.59;63.36;0.3;1.5;0.3;0.37;0.21;0.23;1.41;0.27;4.29;32.05;80.10;3.93;14.58;13.74;5.39;9.89;0.39;8.74;10.00;3.23;0.45;9.75;61.68;0.66;10.72;7.05;51.14;1.49209623661133;6.65457454585581;7.23596187533621
Lipník nad Bečvou;0;16.08;23.4;63.72;20.21;41.6;44.6;41.02;10.48;7.35;46.33;53.66;70.29;0.72;12.66;35.07;31.54;15.15;55.43;15.11;1.16;0.05;0.08;0.3;0.07;0.11;0.2;1.97;27.49;76.97;3.22;10.74;11.51;4.24;9.70;1.05;11.75;11.32;3.84;2.14;7.47;59.83;0.96;8.32;7.87;50.79;1.71818035166962;17.0585808580858;11.537403740374
Litoměřice;1;16.19;29.58;63.16;20.65;41.4;44.1;36.73;13.4;6.78;53.53;46.46;68.65;0.96;15.07;32.52;30.67;14.11;63.47;0.29;0.98;0.1;0.18;0.19;0.06;0.57;0.45;2.53;33.71;77.37;3.42;11.87;11.65;5.62;11.08;1.01;8.77;10.46;4.00;0.43;9.06;58.79;1.01;9.93;7.65;50.66;1.62099759957687;5.87666263603386;5.66073587839005
Litomyšl;0;16.84;18.51;62.68;20.48;41.3;43.6;43.66;8.45;6.78;65.79;34.2;75.6;0.33;12.73;34.57;31.23;16.41;64.12;0.52;0.7;0.13;0.05;0.08;0.05;0.71;0.08;1.80;33.56;79.81;3.86;13.17;11.53;4.40;9.79;1.68;11.27;11.97;3.99;0.12;8.04;63.75;1.12;9.83;5.12;50.63;1.7075684962474;21.7793513019644;9.31171006547891
Litovel;0;16.28;21.78;62.22;21.50;42;44.6;40.64;9.99;7.79;50.96;49.03;70.27;1.05;13.28;37.02;30.18;13.78;54.08;17.94;0.78;0.07;0.07;0.07;0.06;0.23;0.1;1.38;26.6;78.81;3.18;10.79;11.51;4.80;9.85;1.34;12.60;12.71;4.11;0.59;7.33;64.06;1.00;8.39;5.36;50.71;1.71185920392919;16.7810599478714;9.2267593397046
Litvínov;1;15.72;36.66;62.29;21.99;42.2;44.9;32.82;14.2;7.56;41.42;58.57;62;1.57;17.51;35.54;27.01;10.04;63.5;0.15;1.31;0.15;0.58;0.5;0.06;0.13;0.52;3.25;33.1;72.16;3.03;9.18;11.04;4.77;10.58;0.36;9.38;11.08;4.01;0.18;8.55;56.28;0.82;7.97;7.09;51.11;1.62784202917598;3.59488224637681;5.43761322463768
Louny;0;16.22;30.05;63.08;20.70;41.5;44.1;37.19;12.56;7.13;45.04;54.95;67.6;0.92;15.18;34.43;30.06;12.25;63.78;0.16;1.22;0.09;0.2;0.41;0.13;0.43;0.34;2.83;33.24;75.11;3.44;9.98;12.13;5.48;9.80;1.14;9.05;11.12;3.50;0.43;9.06;58.35;1.16;9.15;6.45;50.88;1.62782849239281;4.91733685526285;5.45977689205443
Lovosice;0;16.11;26.21;62.24;21.64;41.9;44.6;37.87;12.09;7.73;44.63;55.36;68.8;0.89;15.13;37.03;29.52;11.35;61.25;0.19;0.74;0.1;0.2;0.18;0.07;0.87;0.41;2.56;35.99;77.59;3.37;9.75;11.53;6.20;10.62;0.83;9.11;13.35;3.70;0.24;8.90;61.49;0.94;8.75;6.41;50.69;1.6328811200974;5.55083022077586;5.46947228282978
Luhačovice;0;14.87;22.09;62.52;22.61;42.9;46.3;44.04;9.52;8.18;57.29;42.7;73.93;0.35;12.39;36.10;30.73;16.55;58.82;17.32;1.45;0.02;0.07;0.01;0.08;0.28;0.06;1.97;21.89;79.18;3.97;12.12;12.12;4.41;10.81;0.59;12.71;10.42;4.15;0.22;7.68;61.17;1.14;11.28;5.59;51.32;1.72523858653598;40.3673860370767;11.709021243027
Lysá nad Labem;0;19.72;23.62;67.19;13.09;37.1;39.2;36.04;11.85;4.61;65.3;34.69;71.43;0.69;13.52;29.96;32.10;18.02;60.17;0.69;2.26;0.23;0.1;0.29;0.24;1.55;0.2;4.87;34.27;78.25;3.64;14.06;13.04;7.22;10.79;1.78;6.94;9.04;3.37;0.48;7.89;60.97;0.54;9.05;7.70;49.58;1.48268822472644;9.10036401456058;8.07657306292252
Mariánské Lázně;1;14.9;31.5;61.41;23.70;42.9;46.5;36.19;14.16;7.97;52.22;47.77;63.03;1.09;15.16;33.40;29.98;12.51;60.22;0.29;2.34;0.14;0.58;0.06;0.7;1.29;0.51;5.62;33.87;76.24;3.56;9.64;9.38;5.94;14.95;1.38;7.41;9.48;4.71;0.22;9.56;54.38;1.18;9.92;10.77;52.23;1.53694166584134;8.71192111287198;8.44338792040852
Mělník;0;17.11;25.37;62.86;20.03;40.8;43.6;37.81;12.03;7.17;60.19;39.8;70.16;0.57;13.59;33.81;31.48;14.22;62.81;0.26;1.34;0.1;0.14;0.07;0.15;1.13;0.15;3.08;33.85;79.72;3.88;12.09;13.29;6.15;10.82;1.13;9.01;10.58;3.35;0.19;9.24;61.45;0.86;10.90;6.51;50.93;1.57816554572896;6.71107931682017;6.19690601806313
Mikulov;1;15.81;24.66;63.68;20.51;41.7;44.2;39.05;11.13;6.72;53.41;46.58;68.94;1.06;16.09;36.77;26.51;12.95;51.82;19.43;2.11;0.07;0.16;0.12;0.05;0.56;0.08;3.16;25.6;76.08;3.53;9.25;9.35;4.41;11.40;2.94;10.78;10.50;4.71;0.21;9.00;54.07;0.83;11.45;9.73;50.88;1.67990899544977;11.7341329335332;9.73013493253373
Milevsko;0;14.09;23.69;60.49;25.42;44.6;47.4;43.04;9.99;8.57;59.71;40.28;69.19;0.74;12.18;38.57;30.89;12.98;63.43;0.17;0.56;0.05;0.04;0.11;0.05;0.31;0.12;1.24;35.16;78.78;3.44;10.56;11.81;4.28;10.68;2.48;13.34;10.03;3.80;0.46;7.92;59.26;0.94;12.33;6.25;50.44;1.71230445642172;17.5116782499715;10.4477611940299
Mladá Boleslav;0;16.67;22.45;64.68;18.64;40.5;42.9;38.94;11.81;6.16;60.27;39.72;71.98;0.58;11.92;32.46;31.82;15.78;59.97;0.36;2.42;0.49;0.16;0.19;0.18;1.59;0.36;5.39;34.28;82.53;3.06;13.31;13.59;7.66;8.25;0.46;9.28;12.79;3.03;0.15;10.95;69.27;0.52;7.85;4.88;49.55;1.52269799331834;6.74197823597825;6.76632076237186
Mnichovo Hradiště;0;17.48;19.43;63.09;19.43;40.8;43.4;40.16;11.43;7.02;60.83;39.16;74.3;0.76;11.49;35.23;32.15;14.96;62.67;0.27;1.4;0.21;0.16;0.09;0.05;0.56;0.11;2.57;34.48;81.33;3.40;12.97;14.08;6.89;9.09;0.96;10.70;11.30;2.85;0.11;8.99;66.75;0.70;9.59;4.30;50.28;1.57994906848948;4.95440391459075;6.25556049822064
Mohelnice;0;15.32;23.84;64.3;20.37;41.3;44.8;38.34;12.02;7.36;47.11;52.88;71.26;0.74;14.42;37.74;29.77;12.39;55.67;14.93;0.76;0.07;0.1;0.07;0.05;0.28;0.21;1.55;27.86;77.32;2.60;9.09;10.77;3.81;8.16;0.95;12.01;17.13;4.60;0.26;7.94;63.45;0.72;6.56;6.59;49.28;1.68784349646689;11.2324578168514;8.72058100802708
Moravská Třebová;1;15.27;27.14;62.38;22.36;42.4;45.5;37.9;12.08;8.06;45.72;54.27;69.58;0.76;15.03;41.89;26.50;10.55;56.9;9.95;0.82;0.04;0.14;0.27;0.05;0.06;0.22;1.62;31.55;76.91;2.89;8.82;9.93;3.58;9.85;1.34;12.01;15.16;4.53;0.50;8.29;62.41;0.76;7.84;5.90;50.48;1.77138341390852;12.2126779607095;9.81468225562714
Moravské Budějovice;0;15.11;21.26;62.93;21.96;42.4;45.4;42.3;8.96;7.84;52.75;47.24;72.56;0.58;14.59;40.96;27.32;12.17;56.33;12.31;0.57;0.02;0.04;0.08;0.05;0.14;0.2;1.10;30.26;75.85;2.87;9.31;9.90;3.66;9.29;2.39;13.52;13.04;3.96;0.44;7.48;57.90;1.06;10.54;6.34;50.40;1.78632837072762;25.974608586425;10.6365797855637
Moravský Krumlov;0;15.61;18.91;63.44;20.95;42.1;44.2;42.34;9.19;7.37;46.79;53.2;71.46;0.69;14.18;41.91;26.81;12.06;47.26;24.39;0.84;0.03;0.06;0.01;0.04;0.18;0.09;1.26;27.1;77.25;2.95;10.03;10.68;5.18;9.67;1.61;14.01;12.01;3.61;0.35;7.14;60.85;0.81;9.45;6.13;50.40;1.72184138367433;19.8151720425284;9.66309272800682
Most;1;15.95;42.64;64.91;19.15;40.7;44;30.9;15.28;7.1;40.42;59.57;59.72;1.49;18.51;32.89;26.56;10.97;62.29;0.17;1.46;0.09;0.44;0.75;0.14;0.64;0.6;4.12;33.42;72.14;2.75;9.47;10.96;5.10;10.11;0.35;7.87;12.34;4.06;0.25;8.88;57.42;0.66;6.66;7.40;51.44;1.59844019075374;4.13391182324556;5.86794965419477
Náchod;0;15.63;26.99;60.94;23.43;42.7;45.8;39.99;12.55;7.33;63.61;36.38;72.32;0.55;12.77;35.02;32.92;13.24;64.46;0.28;0.9;0.36;0.25;0.26;0.05;0.5;0.25;2.58;32.69;79.94;3.59;11.90;12.30;5.39;9.84;0.96;10.90;12.23;3.78;0.13;8.93;61.55;1.03;11.21;6.16;51.50;1.62371011742379;14.274424917109;8.83540345994606
Náměšť nad Oslavou;0;14.84;17.78;63.85;21.30;41.8;45.4;42.36;9.01;7.37;49.64;50.35;72.86;0.62;13.39;38.70;28.91;14.91;53.74;19.51;1.2;0.01;0.03;0.17;0.04;0.15;0.25;1.85;24.9;74.95;2.63;10.73;11.46;4.14;10.25;1.96;11.21;9.55;4.05;1.96;6.98;55.58;0.83;9.75;8.79;47.45;1.71684909384533;20.4481183380466;11.5582626350518
Nepomuk;0;15.23;22.22;60.23;24.54;43.8;45.8;41.51;11.2;8.19;51.6;48.39;69.89;0.64;14.69;41.48;27.28;10.61;61.33;0.1;0.79;0.04;0.14;0.05;0.09;0.72;0.25;2.07;36.49;78.17;3.13;8.22;11.15;4.47;8.96;2.45;13.05;14.35;3.45;0.35;8.61;60.87;0.59;9.74;6.97;49.30;1.71234676007005;8.45302351111518;7.97731223126887
Neratovice;0;17.23;27.03;64.07;18.70;40.4;42.9;37.24;12.95;6.3;60.1;39.89;68.44;0.66;13.25;34.23;32.17;13.46;63.06;0.4;1.72;0.17;0.1;0.27;0.16;0.99;0.25;3.66;32.88;80.67;3.62;12.49;13.75;7.35;11.03;0.84;8.32;10.64;2.97;0.26;9.41;61.87;0.69;12.18;5.93;51.06;1.52683677958645;6.51399175679445;6.86417304533763
Nová Paka;0;15.63;26.23;61.13;23.24;42.9;46;41.02;11.39;7.95;59.77;40.22;73.59;0.37;11.81;38.54;31.53;12.79;63.1;0.2;0.75;0.25;0.14;0.14;0.05;0.41;0.11;1.84;34.85;78.94;3.34;11.41;11.83;4.45;9.69;0.86;11.73;13.69;3.69;0.18;8.07;61.40;0.90;11.52;5.12;51.01;1.70116322008863;9.7027972027972;7.35060394151303
Nové Město na Moravě;0;16.38;17.77;61.69;21.94;42.3;44.4;44.57;7.91;7.34;64.42;35.57;76.09;0.47;12.25;35.84;30.43;17.62;62.19;9.9;0.54;0.03;0.06;0.08;0.05;0.21;0.11;1.08;26.83;77.72;3.61;13.00;11.86;3.60;10.32;2.17;12.20;9.94;4.00;0.18;6.83;60.65;1.12;10.70;5.26;50.33;1.79646471115665;34.1401617250674;8.81940700808625
Nové Město nad Metují;0;15.53;23.41;60.22;24.25;43;46.3;43.25;10.98;6.91;65.82;34.17;76.62;0.26;12.08;33.34;34.52;15.57;67.78;0.17;1.02;0.25;0.16;0.05;0.05;0.38;0.07;1.98;30.07;82.31;4.23;13.60;13.40;5.51;9.52;1.02;12.64;10.36;3.45;0.20;8.38;62.23;0.96;12.82;6.30;51.01;1.67777203856749;16.0620224052229;8.83596705987091
Nový Bor;1;15.6;29.27;61.76;22.63;42.4;45.3;36.39;13.98;7.53;52.87;47.12;68.71;0.86;14.16;37.95;29.27;10.99;63.09;0.21;0.8;0.34;0.61;0.19;0.07;0.22;0.28;2.51;34.19;75.86;3.53;10.50;10.91;4.64;9.75;0.65;11.12;11.62;3.90;0.22;9.02;56.56;1.03;11.47;6.80;50.91;1.61875168873277;4.93421052631579;6.25
Nový Bydžov;0;15.53;26.59;62.68;21.80;42.1;45;40.64;10.32;7.33;47.03;52.96;71.22;1.03;14.10;39.34;27.70;11.15;59.49;0.21;0.87;0.08;0.08;0.36;0.05;0.57;0.13;2.13;38.16;77.84;3.12;9.91;9.65;4.29;10.24;1.33;12.74;13.41;3.74;0.20;9.22;58.99;1.12;12.92;4.80;50.85;1.66031724511931;6.42324714651759;6.638714185884
Nový Jičín;0;16.74;24.56;62.8;20.45;41.1;44;38.59;10.8;7.17;52.56;47.43;68.5;0.69;12.89;34.61;30.58;15.98;59.18;10.23;1.2;0.11;0.12;0.09;0.06;0.19;0.12;1.90;28.7;77.08;3.21;12.08;12.50;4.58;9.76;0.69;11.47;11.51;3.29;0.44;7.54;61.77;0.90;8.92;5.48;51.29;1.68311436249627;17.7603059923502;9.67275818104547
Nymburk;0;16.57;22.25;62.5;20.93;41.6;44.1;39.25;12.11;6.88;59.14;40.85;72.18;0.49;12.82;34.64;32.37;14.26;64.12;0.32;1.04;0.09;0.07;0.16;0.24;0.9;0.23;2.75;32.83;80.39;3.55;12.89;13.32;6.65;10.26;0.78;9.36;11.14;3.53;0.12;8.79;62.38;0.72;11.08;6.22;50.90;1.57383548067393;7.27443795186689;6.51431118153907
Nýřany;0;17.3;20.31;64.13;18.57;40.7;42.7;41.07;10.52;6.29;58.04;41.95;71.08;0.56;14.44;35.60;29.51;14.52;63.55;0.14;1.09;0.09;0.34;0.08;0.05;0.53;0.25;2.44;33.88;80.63;3.97;12.23;13.67;5.77;9.20;0.61;12.13;11.30;3.27;0.13;8.35;63.40;0.77;9.83;6.63;50.23;1.55889298587231;4.91566265060241;5.79690189328744
Odry;0;16.24;23.45;63.02;20.74;41.5;43.9;38.93;10.25;7.83;47.27;52.72;67.63;0.88;16.79;38.90;25.70;11.54;55.6;9.97;1.2;0.06;0.39;0.37;0.04;0.52;0.22;2.79;31.63;75.25;2.88;8.94;10.10;3.38;9.02;1.12;11.85;14.89;4.04;0.24;8.79;61.30;1.06;7.81;5.09;50.28;1.7680472509844;16.1353725201155;9.70456360174437
Olomouc;0;16.54;26.04;63.96;19.51;40.5;43.4;37.41;11.9;6.31;59.98;40.01;70.79;0.46;10.95;26.94;32.30;24.70;60.57;12.56;1.41;0.14;0.13;0.13;0.14;0.38;0.19;2.50;24.35;80.17;4.07;17.89;13.52;6.06;10.44;0.48;7.76;7.87;3.34;1.22;7.52;62.09;0.89;9.54;7.66;51.89;1.46295942850911;13.5850794381764;10.3508740856197
Opava;0;15.85;25.73;63.14;21.01;41.6;44.9;40.24;10.78;7.48;52;47.99;71.52;0.68;12.67;33.58;30.56;17.90;64.74;8.13;0.95;0.13;0.45;0.11;0.05;0.12;0.13;1.92;25.19;77.72;3.58;14.25;12.43;4.65;10.36;0.78;10.66;9.88;3.62;0.38;7.14;61.20;0.98;9.05;6.49;51.86;1.63121161362367;20.8628565627855;11.8688458024566
Orlová;0;15.47;31.2;65.21;19.32;41.6;44.4;37.58;12.77;7.75;32.96;67.03;61.54;1.07;15.32;36.86;27.44;11.37;59.8;5.12;3.12;1.86;0.07;0.31;0.04;0.1;0.11;5.61;29.47;68.99;2.50;9.17;10.55;4.48;10.69;0.42;8.56;11.63;3.12;0.18;7.70;56.95;0.62;5.49;5.93;51.33;1.62351105165934;10.0627366442805;8.36304341817981
Ostrava;0;14.95;35.53;64.44;20.61;41.3;44.9;34.31;13.97;7.3;48.44;51.55;64.54;0.79;13.76;29.64;29.04;19.78;61.52;5.82;2.16;0.3;0.18;0.47;0.11;0.21;0.41;3.85;28.82;74.07;3.43;14.47;12.60;5.60;10.38;0.26;7.65;8.47;3.32;0.18;7.72;58.15;0.67;8.26;6.99;51.63;1.49633614591571;11.630455908264;9.58621282940957
Ostrov;1;14.6;31.97;64.78;20.63;42.2;45.3;33.61;15.16;6.93;52.67;47.32;65.94;1.55;18.01;35.34;27.52;10.28;61.39;0.2;2.11;0.13;1.41;0.42;0.2;0.39;1.6;6.26;32.15;73.36;3.02;9.45;9.77;3.96;13.95;0.73;9.06;10.27;4.46;0.11;8.56;50.26;0.94;10.13;12.03;48.69;1.60604297224709;5.84031267448353;6.84533780011167
Otrokovice;0;14.31;25.21;63.29;22.40;42.5;46.2;39.27;13.07;7.69;52;47.99;69.06;0.49;14.51;36.11;29.84;14.12;55.32;16.89;1.16;0.09;0.03;0.06;0.07;0.42;0.17;2.00;25.79;80.44;3.24;9.91;12.90;4.48;10.03;0.51;10.98;15.04;5.11;0.18;8.07;66.56;0.57;7.88;5.43;51.03;1.59660746496462;16.1215945634367;11.2705539712396
Pacov;0;13.59;23.82;61.32;25.09;44;48;43.37;9.35;9.69;57.41;42.58;72.87;0.45;13.38;39.27;29.79;12.29;62.47;0.29;0.59;0.03;0;0.01;0.08;0.59;0.36;1.67;35.58;80.14;3.23;9.39;10.95;3.68;10.00;3.55;13.25;11.78;5.24;0.18;8.89;63.12;0.88;11.26;4.88;50.32;1.76367088607595;18.2538808763624;10.4701089948255
Pardubice;0;16.1;25.69;63.83;20.07;40.9;44;37.97;12.3;6.57;62.48;37.51;72.06;0.47;10.58;28.63;33.48;21.29;65.55;0.56;1.51;0.11;0.09;0.2;0.15;1.07;0.28;3.41;30.48;82.40;4.42;16.42;15.06;6.84;9.66;0.42;7.31;9.58;3.22;0.86;8.61;63.39;0.73;10.38;7.90;50.71;1.46549046518347;8.20958014827335;7.8354396343103
Pelhřimov;0;15.02;20.69;62.44;22.55;42.7;45.6;42.81;9.62;7.84;58.94;41.05;73.4;0.73;12.14;36.18;31.78;14.21;64.36;0.42;0.66;0.08;0.03;0.05;0.02;0.86;0.21;1.91;33.31;80.73;3.57;11.06;12.08;4.65;9.95;2.04;11.75;12.60;4.04;0.14;8.85;63.16;0.89;11.37;5.32;50.67;1.65739566825145;18.5478367681179;9.88808516446022
Písek;0;15.74;27.8;61.61;22.65;42.3;45.3;38.47;12.7;7.62;57.21;42.78;70.89;0.54;12.44;32.22;32.64;16.34;64.44;0.33;1.02;0.13;0.14;0.35;0.14;0.71;0.43;2.91;32.31;79.76;3.86;12.61;11.86;4.85;11.11;1.50;9.19;11.58;3.41;0.50;9.28;60.28;1.04;10.89;7.54;51.16;1.59654440069024;10.9265334147086;10.3104974061642
Plzeň;0;15.05;27.99;64.37;20.58;41.2;44.2;36.29;12.92;6.52;63.67;36.32;69.33;0.50;10.81;25.79;33.40;23.08;63.65;0.21;1.49;0.15;0.21;0.17;0.26;2.3;0.71;5.28;30.85;82.37;3.82;17.27;14.38;6.34;9.94;0.32;8.18;9.43;2.92;0.15;9.63;64.27;0.69;9.65;7.77;51.03;1.36314687228549;8.36282227197227;8.57999154019953
Podbořany;1;16.15;28.16;63.02;20.83;41.8;44;35.6;12.33;7.77;34.5;65.49;68.65;1.18;19.55;38.85;25.01;8.03;61.32;0.33;1.64;0.18;0.48;0.31;0.08;0.34;0.47;3.50;34.85;73.24;2.47;8.43;9.39;4.13;10.27;1.39;8.66;14.49;4.18;0.42;9.40;58.20;0.66;7.42;6.96;50.44;1.74491962390052;6.18305432621384;6.03553332050542
Poděbrady;0;16.48;25.4;61.22;22.30;42.1;44.8;39.3;12.02;7.44;60.85;39.14;74.19;0.44;11.66;32.85;32.46;17.34;64.78;0.3;0.94;0.09;0.1;0.1;0.41;0.57;0.3;2.51;32.41;79.82;4.63;14.36;12.60;5.40;10.92;0.90;9.12;9.48;3.26;0.22;8.95;58.89;1.24;13.29;6.39;51.43;1.56588747142541;9.18247759019353;7.46571220423807
Pohořelice;0;17.87;17.25;63.8;18.33;39.9;42.4;40.13;9.5;6.89;50.42;49.57;71.08;0.44;14.52;38.32;26.35;13.95;49.67;23.11;1.56;0.06;0.15;0.03;0.07;0.2;0.1;2.17;25.05;78.27;3.68;11.03;11.27;7.75;9.36;1.60;10.86;10.27;3.60;0.20;8.65;62.05;0.83;9.87;5.52;50.41;1.64240039350713;15.1866938221317;10.5838424983028
Polička;0;16.35;20.13;62.59;21.06;41.4;44.4;42.18;8.65;7.53;62.14;37.85;73.16;0.78;13.10;38.74;30.06;13.70;63.25;1.34;0.39;0.03;0.08;0.12;0.02;0.32;0.16;1.12;34.29;77.78;3.33;10.85;10.94;4.07;9.70;1.16;12.81;13.41;3.80;0.15;7.54;61.64;0.78;10.11;5.26;50.88;1.73528325123153;22.206498951782;8.68972746331237
Prachatice;0;16.09;25.42;63.25;20.66;41.7;44.2;39.89;10.88;7.26;54.45;45.54;68.34;0.71;14.09;36.57;28.84;13.19;63.23;0.18;1.12;0.08;0.39;0.07;0.08;0.44;0.39;2.58;34.02;77.96;3.09;9.57;10.13;4.07;9.49;2.15;12.90;12.77;4.38;0.22;9.19;54.63;1.05;10.93;11.36;50.20;1.71178495568739;14.0776848795236;10.1255669021689
Prostějov;0;16.16;26.2;62.62;21.22;41.6;44.7;39.33;11.56;7.4;50.49;49.5;69.51;0.70;12.22;35.44;30.94;15.41;56.64;15.1;0.99;0.06;0.05;0.2;0.04;0.35;0.14;1.84;26.43;77.37;3.42;11.67;11.75;4.84;10.04;1.05;10.67;11.13;3.60;1.44;7.77;60.45;0.84;8.97;7.11;51.47;1.60667405284328;15.4766359025526;10.8142096948532
Přelouč;0;16.05;21.96;62.43;21.53;42;44.6;39.86;12;7.31;51.82;48.17;72.21;0.44;12.97;38.46;29.95;12.04;61.69;0.38;1.23;0.1;0.06;0.05;0.06;0.31;0.31;2.12;35.81;81.35;3.34;10.03;12.73;4.81;8.87;1.13;11.40;14.19;4.15;0.52;10.19;64.76;0.70;9.96;5.92;50.33;1.609840249551;7.05412422608348;6.46295186738566
Přerov;0;14.87;27.23;62.05;23.07;42.9;46.4;39.58;11.97;8.21;44.92;55.07;68.17;0.78;12.85;34.10;31.45;15.20;57.52;14.58;1.21;0.07;0.05;0.5;0.05;0.19;0.2;2.27;25.63;76.09;3.13;11.59;12.88;4.93;10.40;0.65;10.28;10.03;3.62;1.02;7.56;60.64;0.78;7.76;6.91;51.68;1.6281746973653;15.234303615716;10.8419266414306
Přeštice;0;16.54;20.94;63.33;20.13;41.5;43.8;41.75;10.43;6.96;53.86;46.13;71.19;0.45;12.31;35.87;31.40;14.97;63.28;0.13;0.85;0.09;0.2;0.02;0.06;0.82;0.18;2.22;34.37;82.09;3.50;12.73;13.62;5.08;9.78;0.82;11.40;12.62;3.30;0.23;8.99;63.86;0.88;10.69;6.66;50.26;1.57981749865808;5.89930649374043;6.34513194632081
Příbram;0;15.46;28.2;63.03;21.50;42;45.1;38.17;12.75;7.38;57.13;42.86;70.57;0.58;13.49;33.27;31.71;15.48;63.73;0.28;1.09;0.05;0.1;0.11;0.14;0.58;0.25;2.32;33.67;78.93;3.64;12.72;13.04;4.95;11.32;0.88;9.58;9.82;3.72;0.88;8.37;58.36;0.90;11.03;8.63;50.59;1.59696367859427;9.26981659036596;8.20016699778296
Rakovník;0;16.11;23.5;62.16;21.73;41.9;44.9;38.92;12.08;7.44;53.64;46.35;70.77;0.87;13.95;34.78;31.59;13.57;64.52;0.23;0.94;0.12;0.11;0.2;0.11;0.61;0.28;2.37;32.88;78.16;3.69;11.41;12.08;5.82;10.76;1.13;8.21;11.67;4.15;0.52;8.72;58.89;0.89;10.40;7.98;50.42;1.61250589092155;4.56102201685241;5.57397843616925
Rokycany;0;15.87;23.23;62.54;21.59;42.2;44.8;39.69;11.87;7.37;52.33;47.66;71.71;0.78;13.30;35.14;31.34;13.76;63.03;0.22;1.32;0.09;0.15;0.24;0.12;1.08;0.27;3.28;33.48;80.42;3.43;10.92;12.71;5.80;10.03;1.01;9.80;13.47;3.42;0.45;9.38;62.89;0.88;9.77;6.87;50.50;1.56872437906921;5.93947837488988;6.04191849863755
Rosice;0;18.26;19.59;62.47;19.27;40.3;43;41.68;9.72;6.76;56.25;43.74;72.29;0.39;11.73;33.15;31.33;19.25;53.67;21.34;1.26;0.09;0.05;0.05;0.19;0.58;0.15;2.38;22.62;79.30;4.21;15.09;13.63;5.39;10.23;0.66;10.74;8.46;3.22;0.40;7.27;61.98;0.67;10.56;6.09;51.26;1.5864252987153;13.7248258987389;9.97929606625259
Roudnice nad Labem;0;16.79;24.06;62.19;21.01;41.2;44.1;39.09;11.41;7.38;59.8;40.19;73.15;0.48;14.42;34.39;31.11;14.27;63.81;0.23;0.85;0.06;0.11;0.27;0.09;0.68;0.2;2.26;33.7;78.54;4.10;12.90;12.09;5.89;11.09;1.01;9.50;9.69;3.50;0.24;8.53;60.79;0.90;10.70;6.15;50.82;1.60146405419186;6.09196464319813;6.15664171979427
Rožnov pod Radhoštěm;0;15.69;22.94;61.82;22.49;42.4;45.7;40.92;10.37;7.55;60.14;39.85;69.68;0.52;13.45;32.85;31.09;17.62;60.51;8.72;1.47;0.1;0.06;0.06;0.06;0.17;0.08;2.00;28.77;78.71;4.06;12.84;12.62;4.03;9.28;1.07;10.21;13.04;3.33;0.08;8.15;60.84;1.06;11.07;5.75;51.53;1.64405348821503;26.8880934217476;11.8390939498856
Rumburk;1;16.61;33.18;61.7;21.69;41.4;44.2;34.11;12.33;7.46;41.12;58.87;60.72;1.98;18.96;35.48;25.19;8.03;58.54;0.2;1.12;0.32;1.43;0.69;0.1;0.2;0.86;4.73;36.54;69.73;2.59;8.51;7.95;3.12;12.03;0.64;9.36;11.25;4.47;0.09;9.71;50.95;0.99;7.29;10.49;50.96;1.69777694046722;5.20669890166192;5.95920458548144
Rychnov nad Kněžnou;0;16.07;23;63.2;20.74;41.4;44.3;39.71;11.54;6.89;56.96;43.03;73.35;0.84;12.53;34.91;32.20;14.07;63.15;0.44;0.89;0.38;0.11;0.11;0.07;1.03;0.15;2.72;33.67;81.79;3.32;10.64;12.26;6.16;9.56;1.27;10.84;14.16;3.90;0.20;9.48;66.54;0.82;9.23;5.20;49.91;1.65360085990684;10.5133593515461;8.79615731011708
Rýmařov;1;13.87;33.57;61.14;24.98;43.8;47.3;36.83;12.89;8.67;42.72;57.27;66.05;1.03;16.21;39.77;26.19;9.91;57.28;8.76;2.72;0.12;0.38;0.13;0.01;0.06;0.15;3.57;30.39;75.88;3.24;8.30;9.74;3.16;9.63;1.75;12.93;13.66;4.42;0.32;8.73;57.11;1.14;11.07;6.56;50.30;1.7669539762563;9.75833157190164;9.85697174663567
